mechanism,n,student_index,witness_ms,setup_ms,prove_ms,proof_generation_ms,verify_native_ms,verified,proof_bytes,calldata_bytes,root,nullifier
groth16,500,44,151.921500,6.539900,537.907700,689.829200,21.726000,true,725,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,15516244425564411259959202070259984223352380095117938073076839558243544582543
groth16,500,45,124.782800,6.539900,563.052400,687.835200,21.337400,true,722,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,5461012240260841831310472518059984947722454484510405550716280616631741758362
groth16,500,46,126.315200,6.539900,541.551100,667.866300,20.334900,true,727,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,21002439117987328885223260180222381424109515414297237304687448766741848615757
groth16,500,47,125.939300,6.539900,554.940200,680.879500,21.430500,true,721,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,13702324812906801850208203167145110971196598428878114510022748933955625212675
groth16,500,48,134.509400,6.539900,543.110600,677.620000,20.603400,true,723,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,20433727530197551362838323436013337684256314243951474868115284627719011939743
groth16,500,49,119.159700,6.539900,617.964500,737.124200,19.144100,true,723,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,16419954993620407976006688455526562048906695081773921655439303984472944704929
groth16,500,50,130.710500,6.539900,535.166900,665.877400,19.478000,true,722,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,3851283834251624315490889628977476392960355164604846719097178489705252942872
groth16,500,51,119.931200,6.539900,503.522600,623.453800,17.461400,true,725,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,7135153571142440623866946998049636094742582499038045329349146438753035607630
groth16,500,52,129.698900,6.539900,510.227600,639.926500,17.493900,true,725,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,2013026767270256779460185494301004424555712094851943804400374163982455707664
groth16,500,53,115.165100,6.539900,548.899300,664.064400,19.234000,true,723,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,9889820061115683521904268853802821813571397144960451334861479850349835767717
groth16,500,54,117.160000,6.539900,517.031000,634.191000,18.098100,true,724,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,11073118662334071246231344296189120629033886328661909852051122064564010359327
groth16,500,55,120.515200,6.539900,515.771300,636.286500,18.866000,true,722,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,10892372590460285786898899955867293828552264312216250374367077746455310311202
groth16,500,56,119.471000,6.539900,527.571100,647.042100,18.526800,true,724,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,17508345874851790941769996395925551499061032256887825392302156499278636576993
groth16,500,57,118.697200,6.539900,552.944000,671.641200,19.589000,true,723,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,21692452881494325221164530091123411454014926391573504641916894507587127685888
groth16,500,58,123.820200,6.539900,547.495900,671.316100,26.916400,true,723,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,5413393519439674030043796801790278827160770037208707486855636432860445634613
groth16,500,59,135.034100,6.539900,569.329000,704.363100,18.921200,true,725,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,14446232062659274055719924717222997713979442687087823166440166096347109795877
groth16,500,60,115.625200,6.539900,509.239100,624.864300,30.169400,true,723,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,3246276122661668803267084957143748696602181944402204580468671075387245898212
groth16,500,61,144.055200,6.539900,543.896700,687.951900,17.459100,true,721,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,19503821834273268795331467270248786994564135755732254174080071737057629421345
groth16,500,62,113.555000,6.539900,577.528400,691.083400,19.251200,true,724,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,13106387169719611031868000261383867709538296947647355609792801750474412028872
groth16,500,63,115.520200,6.539900,511.333700,626.853900,19.212300,true,721,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,2510251607108249238268999253993435032384180198140867605214764234223847101842
groth16,500,64,119.589000,6.539900,594.213000,713.802000,24.149200,true,723,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,5234913886386502959187085253284996948385617520822278809581462193294955477316
groth16,500,65,128.861000,6.539900,614.576000,743.437000,20.994300,true,722,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,6653270323024787009170396557235922845925160797897777123093420385321335132673
groth16,500,66,133.685600,6.539900,585.440600,719.126200,22.679700,true,725,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,4858340448762324306978219332830674749752687047016936727754706073806123960312
groth16,500,67,131.460100,6.539900,603.312200,734.772300,21.250800,true,724,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,17826908994384143257156016078817386420489477499689515909337018328703924942628
groth16,500,68,132.375200,6.539900,542.690500,675.065700,18.311700,true,724,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,5611321831767220254279227731847185649589119843150976301284377591186708448243
groth16,500,69,119.512500,6.539900,578.101200,697.613700,30.556400,true,723,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,3908172849671440389428787566965587683309889745232524563015898581002733566163
groth16,500,70,103.956800,6.539900,551.042100,654.998900,22.134400,true,725,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,5447808570517679151458831186226073512054884315170035480008679400501647413441
groth16,500,71,141.441400,6.539900,660.754600,802.196000,33.012700,true,720,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,9559591753548146203582133135092039402777903518527380445289550008153921803393
groth16,500,72,176.902000,6.539900,622.965800,799.867800,22.227600,true,723,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,7501586309124463612781008447562721117689353033172774740071209754050800313002
groth16,500,73,148.295700,6.539900,809.589600,957.885300,111.426300,true,726,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,399048973833273382235537449885768287829841118754800916709419544273630282223
groth16,500,74,186.131700,6.539900,648.844500,834.976200,20.523200,true,723,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,11600047588976253939296567561961359454291734770793181164226804790837547830667
groth16,500,75,132.810400,6.539900,678.469700,811.280100,20.891200,true,721,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,17484024709860271162925034308542002087660310599078398193492504793290634831578
groth16,500,76,140.191300,6.539900,627.070400,767.261700,23.928300,true,723,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,21618060336295288677668069297615049042090748264965166093469983333594189551438
groth16,500,77,153.079500,6.539900,619.163000,772.242500,21.520400,true,723,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,16379856764746363299247479192779195742605756084381787196119473783711940619060
groth16,500,78,124.606800,6.539900,543.252600,667.859400,20.834000,true,724,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,6057778825462363296016107329522956214662617402860181463216574823009473959104
groth16,500,79,128.255500,6.539900,558.093200,686.348700,21.567500,true,720,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,2875144160245136122037782172377901958571233913935586156305830810454808053825
groth16,500,80,133.278600,6.539900,579.171200,712.449800,20.701700,true,722,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,15991019765276158575696887641332499917075680315520900525627935058624276266799
groth16,500,81,129.143300,6.539900,614.924400,744.067700,21.029000,true,722,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,797179475562579383583207870472144967369782556597785537249726782196719336629
groth16,500,82,127.388900,6.539900,543.018500,670.407400,23.210100,true,722,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,9395490866244928063482713655376434256848630815885501812863512808887662473117
groth16,500,83,146.647700,6.539900,589.719500,736.367200,25.583300,true,722,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,750405152905562446196715257415354639602401271386275770806035775182129469345
groth16,500,84,117.434300,6.539900,584.645600,702.079900,17.342900,true,725,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,16427358170530862843427334377890254456555473999901459393740619519098890668198
groth16,500,85,147.577500,6.539900,560.698500,708.276000,22.107300,true,721,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,16842421102131706502819182602867690217884542854701111890572636643165641646881
groth16,500,86,135.166600,6.539900,565.319900,700.486500,20.182000,true,724,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,7012755930486664920664408146895155072079677094876828382055302654530490336639
groth16,500,87,128.274000,6.539900,550.438900,678.712900,20.246200,true,721,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,20133605950439174246911429342327628617972591152649065771754268935288053174902
groth16,500,88,122.903400,6.539900,597.130500,720.033900,25.707700,true,725,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,2573890188849376415927141751459669441860164476876221265676383091698168420396
groth16,500,89,147.196000,6.539900,613.991300,761.187300,20.111800,true,723,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,5083265396341485428134172542261345303139041670656543487789354807106126164962
