thi_nghiem,mechanism,cau_hinh,n,d,k,metric,cach_dem,R,N,mean,sd,min,max,don_vi,nguon
theo_n,onchain,n100,100,9,13,verify_record_gas,moi_lan_do,20,2000,615664.774,53.451899,615451,615811,gas,lap20
theo_n,onchain,n100,100,9,13,verify_record_ms,moi_lan_do,20,2000,625.964137,94.663991,498.8571,1712.5448,ms,lap20
theo_n,onchain,n100,100,9,13,settle_gas,moi_lan_do,20,2000,69623.84,4.913906,69602,69626,gas,lap20
theo_n,onchain,n100,100,9,13,settle_ms,moi_lan_do,20,2000,27.141461,10.830433,15.1614,251.8563,ms,lap20
theo_n,onchain,n100,100,9,13,witness_ms,moi_lan_do,20,2000,60.764687,8.306311,36.4689,104.7165,ms,lap20
theo_n,onchain,n100,100,9,13,setup_ms,moi_luot,20,20,1414.776625,76.496521,1314.0229,1605.0744,ms,lap20
theo_n,onchain,n100,100,9,13,prove_ms,moi_lan_do,20,2000,1168.643525,57.058149,998.3308,1708.8007,ms,lap20
theo_n,onchain,n100,100,9,13,proof_generation_ms,moi_lan_do,20,2000,1229.408212,60.197061,1035.4188,1747.3903,ms,lap20
theo_n,onchain,n100,100,9,13,verify_native_ms,moi_lan_do,20,2000,6.433613,0.762326,5.2822,22.0218,ms,lap20
theo_n,onchain,n100,100,9,13,proof_bytes,moi_luot,20,20,4224,0,4224,4224,B,lap20
theo_n,onchain,n100,100,9,13,calldata_bytes,moi_luot,20,20,4352,0,4352,4352,B,lap20
theo_n,onchain,n100,100,9,13,tach_gas,moi_lan_do,20,2000,685288.614,54.714348,685053,685437,gas,lap20
theo_n,onchain,n500,500,9,13,deploy_pool_gas,moi_luot,20,20,1979758,0,1979758,1979758,gas,lap20
theo_n,onchain,n500,500,9,13,deploy_verifier_gas,moi_luot,20,20,4554511,0,4554511,4554511,gas,lap20
theo_n,onchain,n500,500,9,13,update_root_gas,moi_luot,20,20,459000,0,459000,459000,gas,lap20
theo_n,onchain,n500,500,9,13,verify_gas,moi_lan_do,20,10000,532287.2444,51.522066,532094,532454,gas,lap20
theo_n,onchain,n500,500,9,13,verify_onchain_ms,moi_lan_do,20,10000,602.012813,138.20476,455.2289,2519.6244,ms,lap20
theo_n,onchain,n500,500,9,13,withdraw_gas,moi_lan_do,20,10000,582674.0364,52.175501,582483,582843,gas,lap20
theo_n,onchain,n500,500,9,13,withdraw_ms,moi_lan_do,20,10000,633.941997,144.297142,475.5266,2342.2833,ms,lap20
theo_n,onchain,n500,500,9,13,verify_record_gas,moi_lan_do,20,10000,615666.0364,52.175501,615475,615835,gas,lap20
