mechanism,n,student_index,deploy_pool_gas,deploy_verifier_gas,update_root_gas,verify_gas,verify_onchain_ms,withdraw_gas,withdraw_ms,root,nullifier
offchain,100,34,968565,,149571,,,64667,30.885600,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x256531e0ad48513654900b17ca25c7cfca23c079ef85e5fc81e07c05796a6028
offchain,100,35,968565,,149571,,,64667,28.097100,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x2a3e07881ff8de1b7c7b69653483fdfc5dbdc4f85a0da6ac9289ea3d8cdef7c2
offchain,100,36,968565,,149571,,,64667,33.575700,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x38cde69fa27f8b4dc7fbad15e935cb8bafb2129809f2bffe259dc17ab5f34307
offchain,100,37,968565,,149571,,,64667,27.684400,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x1fabf6d01d6ad24c2762a9b20a8c9f87561abdff4a6c27fe90ad2f4f7aa98a54
offchain,100,38,968565,,149571,,,64667,24.364300,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x0f4526a58eb9176d855a6e1a66c414e0f26ca2a5960a4ff73db41d56c01a727f
offchain,100,39,968565,,149571,,,64667,27.876400,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x1d615f01050c96855d92047ba2a957d539f7cc3b60b14e27f4b0c88f3318e08d
offchain,100,40,968565,,149571,,,64655,71.607600,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x2d76a317004381f57d5fe18df08e62edc0ff9e0145886ed6a2f7f4fd4f5737d3
offchain,100,41,968565,,149571,,,64667,31.770800,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x262c2f589fb45d354e5d2430bf686801aab2e56edeea8a7929229c48c1d5f1f7
offchain,100,42,968565,,149571,,,64667,39.246300,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x010483b2f263c986aaf296286f60f3374f62207f3a8a05da4b90a7a9439d7866
offchain,100,43,968565,,149571,,,64667,39.223900,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x2cc271ab6bb3ffed7239b708f173d76c9835c3b7d03ead3fec70f2d2c812690e
offchain,100,44,968565,,149571,,,64667,30.187000,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x17502e41ca7dc3a828f57c2dad46c70b3a1499600566d8a825f6992da2b748df
offchain,100,45,968565,,149571,,,64667,27.137200,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x0d09b270c9704328d5c6997477e4058725d359ea7ab3ed89f153093fe51c31c3
offchain,100,46,968565,,149571,,,64667,34.450800,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x31155a305cb9500efb2ecd65472b90b63dc45a7b55b71d7db5f8411b69ffd46c
