thi_nghiem,run_id,iteration,warmup,d,k,mechanism,n,student_index,deploy_pool_gas,deploy_verifier_gas,update_root_gas,verify_gas,verify_onchain_ms,withdraw_gas,withdraw_ms,verify_record_gas,verify_record_ms,settle_gas,settle_ms,root,nullifier
theo_n,6,24,false,9,13,onchain,100,20,1979758,4554511,149689,532238,598.304900,582627,595.257400,615619,657.274600,69626,19.913900,0x2cb3c9e9303dda68e222491e64f33ef26956f54e9314db7a0389812dbc2acedb,0x200bb29a18b5e870f156d6ebd2bf6a3501fa7c3c8f09b60d83b214e56335f9a0
theo_n,6,25,false,9,13,onchain,100,21,1979758,4554511,149689,532322,556.602800,582711,684.174800,615703,571.300900,69626,21.578800,0x2cb3c9e9303dda68e222491e64f33ef26956f54e9314db7a0389812dbc2acedb,0x0430fa71978db464e55693aed22858236636fed52f0643ed5217ab57d3dcb0fd
theo_n,6,26,false,9,13,onchain,100,22,1979758,4554511,149689,532322,550.892900,582711,572.137100,615703,606.443900,69626,25.152200,0x2cb3c9e9303dda68e222491e64f33ef26956f54e9314db7a0389812dbc2acedb,0x2147f1dde12e92b8a779b7a1d8a020ab980e6191cc48c5284587a8cfcc38bdbf
theo_n,6,27,false,9,13,onchain,100,23,1979758,4554511,149689,532310,562.900700,582699,656.954500,615691,879.620500,69626,32.586600,0x2cb3c9e9303dda68e222491e64f33ef26956f54e9314db7a0389812dbc2acedb,0x15600ee8f4c1d4245fed14fedd3f33b91278267f127310660d18be817347a4f4
theo_n,6,28,false,9,13,onchain,100,24,1979758,4554511,149689,532298,620.341200,582675,571.004000,615667,607.059400,69626,23.304700,0x2cb3c9e9303dda68e222491e64f33ef26956f54e9314db7a0389812dbc2acedb,0x0be8a4efd31fb3cc5779b47321aaddddbb58d76481ba21507fc63793fc500635
theo_n,6,29,false,9,13,onchain,100,25,1979758,4554511,149689,532334,581.161600,582723,570.231500,615715,655.409100,69626,48.135700,0x2cb3c9e9303dda68e222491e64f33ef26956f54e9314db7a0389812dbc2acedb,0x08f21d51da16750602c91d6118b5670e82b4db8062282092372427ad462ba44f
theo_n,6,30,false,9,13,onchain,100,26,1979758,4554511,149689,532286,569.868300,582663,594.875900,615655,599.547500,69614,25.642900,0x2cb3c9e9303dda68e222491e64f33ef26956f54e9314db7a0389812dbc2acedb,0x0eb8ed59f6c3e8cbe021210a28e300436f4daae017809b27680fc6c6e6044daa
theo_n,6,31,false,9,13,onchain,100,27,1979758,4554511,149689,532286,569.406400,582675,676.471600,615667,558.230900,69626,35.732900,0x2cb3c9e9303dda68e222491e64f33ef26956f54e9314db7a0389812dbc2acedb,0x14bdb011d05c9ec8ae83b2ab9739686ce2ebc077af2927727cb25e460e58a3eb
theo_n,6,32,false,9,13,onchain,100,28,1979758,4554511,149689,532298,574.797500,582687,585.206900,615679,626.542900,69626,28.306400,0x2cb3c9e9303dda68e222491e64f33ef26956f54e9314db7a0389812dbc2acedb,0x0f6d85e0225621c81bd2a1f287e50555db9f24c612e997c894e51da4d3ddc79c
theo_n,6,33,false,9,13,onchain,100,29,1979758,4554511,149689,532214,581.957500,582603,600.299100,615595,562.179400,69626,19.837400,0x2cb3c9e9303dda68e222491e64f33ef26956f54e9314db7a0389812dbc2acedb,0x27f15e8942c08b7cae8a7d647ea01dff826c9131dd984230a44ebcd1c649b255
theo_n,6,34,false,9,13,onchain,100,30,1979758,4554511,149689,532334,591.226800,582723,611.406200,615715,717.234600,69626,17.759600,0x2cb3c9e9303dda68e222491e64f33ef26956f54e9314db7a0389812dbc2acedb,0x1c311c038350990aa2b51d1dcab64d9243c41a808b991c7e9acedc6ca224abba
