branch,run_at,git_commit,chain_id,total_students,student_index,student_id,wallet_address,ganache_account_index,clean,exposed_name_count,exposed_value_count,exposed_names,encodings_checked,encodings_skipped
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,30,24560030,0x8263Fce86B1b78F95Ab4dae11907d8AF88f841e7,31,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,31,24560031,0xcF2d5b3cBb4D7bF04e3F7bFa8e27081B52191f91,32,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,32,24560032,0x86c53Eb85D0B7548fea5C4B4F82b4205C8f6Ac18,33,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,33,24560033,0x1aac82773CB722166D7dA0d5b0FA35B0307dD99D,34,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,34,24560034,0x2f4f06d218E426344CFE1A83D53dAd806994D325,35,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,35,24560035,0x1003ff39d25F2Ab16dBCc18EcE05a9B6154f65F4,36,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,36,24560036,0x9eAF5590f2c84912A08de97FA28d0529361Deb9E,37,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,37,24560037,0x11e8F3eA3C6FcF12EcfF2722d75CEFC539c51a1C,38,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,38,24560038,0x7D86687F980A56b832e9378952B738b614A99dc6,39,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,39,24560039,0x9eF6c02FB2ECc446146E05F1fF687a788a8BF76d,40,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,40,24560040,0x08A2DE6F3528319123b25935C92888B16db8913E,41,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,41,24560041,0xe141C82D99D85098e03E1a1cC1CdE676556fDdE0,42,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,42,24560042,0x4b23D303D9e3719D6CDf8d172Ea030F80509ea15,43,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,43,24560043,0xC004e69C5C04A223463Ff32042dd36DabF63A25a,44,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,44,24560044,0x5eb15C0992734B5e77c888D713b4FC67b3D679A2,45,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,45,24560045,0x7Ebb637fd68c523613bE51aad27C35C4DB199B9c,46,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,46,24560046,0x3c3E2E178C69D4baD964568415a0f0c84fd6320A,47,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,47,24560047,0x35304262b9E87C00c430149f28dD154995d01207,48,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,48,24560048,0xD4A1E660C916855229e1712090CcfD8a424A2E33,49,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,49,24560049,0xEe7f6A930B29d7350498Af97f0F9672EaecbeeFf,50,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,50,24560050,0x145e2dc5C8238d1bE628F87076A37d4a26a78544,51,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,51,24560051,0xD6A098EbCc5f8Bd4e174D915C54486B077a34A51,52,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,52,24560052,0x042a63149117602129B6922ecFe3111168C2C323,53,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,53,24560053,0xa0EC9eE47802CeB56eb58ce80F3E41630B771b04,54,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,54,24560054,0xe8B1ff302A740fD2C6e76B620d45508dAEc2DDFf,55,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,55,24560055,0xAb707cb80e7de7C75d815B1A653433F3EEc44c74,56,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,56,24560056,0x0d803cdeEe5990f22C2a8DF10A695D2312dA26CC,57,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,57,24560057,0x1c87Bb9234aeC6aDc580EaE6C8B59558A4502220,58,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,58,24560058,0x4779d18931B35540F84b0cd0e9633855B84df7b8,59,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,59,24560059,0xC0543b0b980D8c834CBdF023b2d2A75b5f9D1909,60,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,60,24560060,0x73B3074ac649A8dc31c2C90a124469456301a30F,61,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,61,24560061,0x265188114EB5d5536BC8654d8e9710FE72C28c4d,62,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,62,24560062,0x924Ba5Ce9f91ddED37b4ebf8c0dc82A40202fc0A,63,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,63,24560063,0x64492E25C30031EDAD55E57cEA599CDB1F06dad1,64,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,64,24560064,0x262595fa2a3A86adACDe208589614d483e3eF1C0,65,true,0,0,(khong),16,2
