mechanism,n,student_index,deploy_pool_gas,deploy_verifier_gas,update_root_gas,verify_gas,verify_onchain_ms,withdraw_gas,withdraw_ms,verify_record_gas,verify_record_ms,settle_gas,settle_ms,root,nullifier
onchain,60,39,1979758,4554511,118668,532298,604.752000,582687,586.909100,615679,726.976500,69626,35.138400,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x0d534f466c09b013aae7d0e8279864a2304960b6c15e30be2d73b27350725771
onchain,60,40,1979758,4554511,118668,532370,647.996400,582759,569.794500,615751,717.918100,69626,38.510500,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x04c205f6cc9003928de41010250f99611604feb7504c06a0ed201fa2e941512c
onchain,60,41,1979758,4554511,118668,532286,640.704000,582675,833.670200,615667,628.453200,69626,23.084900,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x05a926e77a61b03eaf0807495709a29b29d327871ec9e411c3c3d75628751f79
onchain,60,42,1979758,4554511,118668,532274,692.212700,582663,818.141500,615655,837.392300,69626,25.506100,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x22429e51f030bd3dee0c83486cb5b4ebf071ca0c2946970dbdc48148759a9325
onchain,60,43,1979758,4554511,118668,532334,709.569900,582723,697.123500,615715,642.806200,69626,36.963500,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x0bf9fecf5fe31623e8d652e7bec12fceecf4eea01cbea698bfe43cef87ca8161
onchain,60,44,1979758,4554511,118668,532274,619.563100,582663,662.412700,615655,785.827500,69626,22.153200,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x083750baf8c1db443237c9ba4a8dfcbceeb508189a6a79bbd74b2ac69c3ee180
onchain,60,45,1979758,4554511,118668,532286,629.080500,582675,707.847000,615667,686.213200,69626,26.577000,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x3061f12e391a82626f3e7872835d220de678f4bc4449b0ed950119569d2f1523
onchain,60,46,1979758,4554511,118668,532250,719.464000,582639,654.878500,615631,645.441100,69626,56.869900,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x268bf6382a31639eac2136edf12eddb41e077e3c8f7b7cbba09446d18e053826
onchain,60,47,1979758,4554511,118668,532178,628.208400,582555,651.356800,615547,619.953200,69626,30.917900,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x1b61c3f00f1e165f5fb0d86b7fff8a91dcf59d750d6ceca0fb18215a507adec7
onchain,60,48,1979758,4554511,118668,532274,594.704100,582663,699.561300,615655,670.428000,69626,26.871600,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x0a41aae06bdb92dee85e56c40dbfe8a91cf56332c4d0a6835d8165ed8c3a7879
onchain,60,49,1979758,4554511,118668,532190,603.266200,582579,699.543500,615571,591.067400,69626,33.971600,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x23200df97cb1d80e10803411faf3508c59bf7a347fa63ad1af88a4ee6b4d7887
onchain,60,50,1979758,4554511,118668,532202,594.958200,582591,625.723200,615583,636.901100,69626,35.069400,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x1c522549d8babd795f7308a2599b146df77d532c7e47afb9b9ad1547f36c2f0c
onchain,60,51,1979758,4554511,118668,532394,720.553900,582783,621.853400,615775,690.828500,69626,35.910400,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x0561dcb3631efa3a3f3f765b576519476681b0136f50440b17b7c9831c250473
onchain,60,52,1979758,4554511,118668,532310,654.300800,582699,675.474100,615691,676.515600,69626,22.968600,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x07805334dcddecfada86cb3b7d7f83343ef70f842a2f73c4ed75be686e3e3589
onchain,60,53,1979758,4554511,118668,532394,654.062600,582783,761.696100,615775,718.665000,69626,34.416000,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x0d7f8388daad9b670ce6e19cb3e1a2b60abedf3417346d935983c61ce9655b9b
